timestamp_us,adc_value
4648250,3813
4648500,3656
4648750,3529
4649000,3410
4649250,4095
4649500,4095
4649750,4095
4650000,4095
4650250,4095
4650500,4039
4650750,3869
4651000,3727
4651250,3603
4651500,3474
4651750,4095
4652000,4095
4652250,4095
4652500,4095
4652750,4095
4653000,4015
4653250,3893
4653500,3753
4653750,3620
4654000,3513
4654250,4095
4654500,4095
4654750,4095
4655000,4095
4655250,4095
4655500,3945
4655750,3767
4656000,3623
4656250,3483
4656500,3563
4656750,4095
4657000,4095
4657250,4013
4657500,4095
4657750,4043
4658000,3849
4658250,3669
4658500,3503
4658750,3367
4659000,4095
4659250,4095
4659500,4095
4659750,3898
4660000,3949
4660250,3991
4660500,3771
4660750,3576
4661000,3411
4661250,3225
4661500,3108
4661750,3163
4662000,4095
4662250,4095
4662500,3960
4662750,4095
4663000,3981
4663250,3781
4663500,3612
4663750,3467
4664000,3347
4664250,3228
4664500,3129
4664750,3033
4665000,2951
4665250,2871
4665500,2806
4665750,2745
4666000,2685
4666250,2629
4666500,2575
4666750,2567
4667000,4095
4667250,4095
4667500,4059
4667750,4095
4668000,4095
4668250,3987
4668500,3828
4668750,3694
4669000,3570
4669250,3465
4669500,3355
4669750,4095
4670000,4095
4670250,4095
4670500,4021
4670750,4095
4671000,4095
4671250,3989
4671500,3819
4671750,3657
4672000,3541
4672250,3401
4672500,4095
4672750,4095
4673000,4095
4673250,4092
4673500,4095
4673750,3981
4674000,3798
4674250,3630
4674500,3485
4674750,3351
4675000,4095
4675250,4095
4675500,4095
4675750,3940
4676000,4095
4676250,3965
4676500,3767
4676750,3594
4677000,3444
4677250,3289
4677500,4095
4677750,4095
4678000,4079
4678250,3913
4678500,4095
4678750,3903
4679000,3709
4679250,3534
4679500,3385
4679750,3254
4680000,4095
4680250,4095
4680500,4095
4680750,3979
4681000,4095
4681250,4005
4681500,3823
4681750,3660
4682000,3535
4682250,3421
4682500,3307
4682750,3216
4683000,3125
4683250,3047
4683500,2980
4683750,2914
4684000,2854
4684250,2793
4684500,2733
4684750,2675
4685000,2617
4685250,2574
4685500,2523
4685750,2478
4686000,2439
4686250,2394
4686500,2362
4686750,2333
4687000,2285
4687250,2249
4687500,2206
4687750,2167
4688000,2127
4688250,2080
4688500,2029
4688750,1988
4689000,1941
4689250,1894
4689500,1847
4689750,1802
4690000,1757
4690250,1710
4690500,1659
4690750,1615
4691000,1571
4691250,1523
4691500,1477
4691750,1427
4692000,1384
4692250,1335
4692500,1289
4692750,1243
4693000,1197
4693250,1149
4693500,1107
4693750,1061
4694000,1012
4694250,966
4694500,911
4694750,889
4695000,909
4695250,893
4695500,883
4695750,871
4696000,903
4696250,890
4696500,884
4696750,885
4697000,911
4697250,906
4697500,895
4697750,895
4698000,921
4698250,925
4698500,907
4698750,917
4699000,935
4699250,933
4699500,931
4699750,924
4700000,948
4700250,943
4700500,937
4700750,937
4701000,950
4701250,947
4701500,943
4701750,938
4702000,954
4702250,951
4702500,947
4702750,951
4703000,959
4703250,967
4703500,965
4703750,953
4704000,966
4704250,964
4704500,943
4704750,938
4705000,943
4705250,931
4705500,921
4705750,910
4706000,924
4706250,919
4706500,911
4706750,895
4707000,917
4707250,909
4707500,895
4707750,891
4708000,920
4708250,907
4708500,894
4708750,884
4709000,909
4709250,901
4709500,884
4709750,883
4710000,909
4710250,894
4710500,882
4710750,857
4711000,887
4711250,857
4711500,868
4711750,857
4712000,889
4712250,877
4712500,871
4712750,868
4713000,900
4713250,901
4713500,887
4713750,883
4714000,916
4714250,905
4714500,902
4714750,895
4715000,909
4715250,918
4715500,917
4715750,909
4716000,932
4716250,925
4716500,926
4716750,926
4717000,941
4717250,939
4717500,937
4717750,934
4718000,943
4718250,938
4718500,933
4718750,934
4719000,952
4719250,943
4719500,941
4719750,947
4720000,965
4720250,954
4720500,953
4720750,943
4721000,953
4721250,943
4721500,935
4721750,925
4722000,933
4722250,923
4722500,917
4722750,907
4723000,926
4723250,921
4723500,910
4723750,895
4724000,920
4724250,909
4724500,901
4724750,887
4725000,908
4725250,901
4725500,891
4725750,883
4726000,909
4726250,893
4726500,883
4726750,876
4727000,907
4727250,888
4727500,869
4727750,854
4728000,874
4728250,875
4728500,861
4728750,854
4729000,891
4729250,882
4729500,875
4729750,869
4730000,904
4730250,893
4730500,889
4730750,885
4731000,909
4731250,904
4731500,883
4731750,893
4732000,923
4732250,923
4732500,915
4732750,916
4733000,931
4733250,931
4733500,931
4733750,926
4734000,943
4734250,937
4734500,937
4734750,932
4735000,941
4735250,940
4735500,939
4735750,938
4736000,954
4736250,943
4736500,953
4736750,955
